sido,sigungu,schoolName,schoolCode
서울특별시,강남구,국립국악고등학교,110044010
서울특별시,성북구,서울대학교사범대학부설고등학교,110041020
서울특별시,은평구,예일디자인고등학교,110053023
서울특별시,금천구,국립전통예술고등학교,110044030
서울특별시,강남구,서울로봇고등학교,110052101
서울특별시,송파구,가락고등학교,110041101
서울특별시,강남구,개포고등학교,110041103
서울특별시,강서구,서울디지털콘텐츠고등학교,110052103
서울특별시,강남구,경기고등학교,110041105
서울특별시,노원구,경기기계공업고등학교,110052105
서울특별시,성동구,서울방송고등학교,110052107
서울특별시,성북구,경동고등학교,110041107
서울특별시,동작구,서울공업고등학교,110052109
서울특별시,종로구,경복고등학교,110041109
서울특별시,구로구,경인고등학교,110041110
서울특별시,구로구,고척고등학교,110041111
서울특별시,성북구,서울도시과학기술고등학교,110052111
서울특별시,강서구,공항고등학교,110041113
서울특별시,서초구,서울웹툰애니메이션고등학교,110052113
서울특별시,영등포구,관악고등학교,110041115
서울특별시,중구,성동공업고등학교,110052115
서울특별시,광진구,광남고등학교,110041117
서울특별시,광진구,광양고등학교,110041119
서울특별시,송파구,서울인공지능고등학교,110052119
서울특별시,구로구,구로고등학교,110041121
서울특별시,용산구,용산철도고등학교,110052121
서울특별시,구로구,구일고등학교,110041123
서울특별시,영등포구,한강미디어고등학교,110052123
서울특별시,강남구,압구정고등학교,110041125
서울특별시,동대문구,서울반도체고등학교,110052125
서울특별시,금천구,금천고등학교,110041127
서울특별시,종로구,경기상업고등학교,110053127
서울특별시,관악구,당곡고등학교,110041129
서울특별시,도봉구,서울문화고등학교,110053131
서울특별시,영등포구,대영고등학교,110041131
서울특별시,금천구,독산고등학교,110041132
서울특별시,동작구,동작고등학교,110041133
서울특별시,양천구,서울금융고등학교,110053133
서울특별시,강동구,둔촌고등학교,110041135
서울특별시,용산구,선린인터넷고등학교,110053135
서울특별시,중구,성동글로벌경영고등학교,110053137
서울특별시,중랑구,면목고등학교,110041137
서울특별시,서초구,반포고등학교,110041139
서울특별시,관악구,삼성고등학교,110041141
서울특별시,노원구,상계고등학교,110041143
서울특별시,서초구,서울고등학교,110041145
서울특별시,종로구,서울과학고등학교,110043147
서울특별시,송파구,서울체육고등학교,110042149
서울특별시,서초구,서초고등학교,110041151
서울특별시,성북구,석관고등학교,110041153
서울특별시,중구,성동고등학교,110041155
서울특별시,노원구,수락고등학교,110041156
